지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),지면온도(°C)
108,2019.7.25 0:00,26.8,,1,110,79,995.1,25.5
108,2019.7.25 1:00,26.6,,0.8,50,82,994.7,25.5
108,2019.7.25 2:00,26.6,,0.5,110,81,994.6,25.6
108,2019.7.25 3:00,26.7,,0.8,110,79,994.6,25.6
108,2019.7.25 4:00,26.1,0.3,0.5,50,93,994.4,25.5
108,2019.7.25 5:00,25.8,0.2,0.3,0,95,994.6,25.5
108,2019.7.25 6:00,25.6,0.8,0.2,0,96,994.9,25.5
108,2019.7.25 7:00,25.7,1,0.8,110,96,995.1,25.7
108,2019.7.25 8:00,26.1,0.1,0.3,0,96,995.4,26.5
108,2019.7.25 9:00,26.4,,1.6,180,94,995.3,27.2
108,2019.7.25 10:00,26.5,,1.4,230,92,995.3,27.4
108,2019.7.25 11:00,27,,1.9,230,83,995.2,28.2
108,2019.7.25 12:00,26.8,0,2.2,200,88,995.1,28.8
108,2019.7.25 13:00,26.6,0.1,1.5,230,94,994.9,28.2
108,2019.7.25 14:00,27.1,0.2,0.9,230,93,994.4,29.9
108,2019.7.25 15:00,27.3,,1.7,200,84,994.2,28
108,2019.7.25 16:00,26.8,0.9,1.5,230,88,994.1,27.4
108,2019.7.25 17:00,26.4,0.4,2.2,200,92,993.8,26.9
108,2019.7.25 18:00,26.2,0.7,3,200,92,993.7,26.2
108,2019.7.25 19:00,25.9,4.8,1.1,290,96,994.2,26
108,2019.7.25 20:00,25.8,0.1,0.4,0,96,994.2,25.8
108,2019.7.25 21:00,25.9,0.1,2.4,200,95,994.8,25.7
108,2019.7.25 22:00,25.9,0,1,180,93,995,25.7
108,2019.7.25 23:00,25.9,,2,200,94,995.1,25.6
108,2019.7.26 0:00,25.8,,2.4,200,93,994.5,25.5
108,2019.7.26 1:00,25.8,,1.5,230,92,994,25.4
108,2019.7.26 2:00,25.5,0.8,2.5,200,94,993.3,25.4
108,2019.7.26 3:00,25.1,0.5,3.7,200,95,993.1,25.2
108,2019.7.26 4:00,25,0.2,3,230,96,993.2,25
108,2019.7.26 5:00,24.9,0.2,3.4,200,96,993,25
108,2019.7.26 6:00,25,0.1,2.4,200,96,993.5,24.9
108,2019.7.26 7:00,24.8,6.7,2.4,250,96,994,24.8
108,2019.7.26 8:00,24,15,1.9,290,97,994,24.3
108,2019.7.26 9:00,23.9,12,1.9,250,97,994.2,24.2
108,2019.7.26 10:00,23.7,15.7,0.8,270,97,994.5,24
108,2019.7.26 11:00,23.9,6.4,0.2,0,97,994.3,24.4
108,2019.7.26 12:00,24.7,1.4,1.5,180,97,994.2,26.4
108,2019.7.26 13:00,24.8,0.2,1.8,200,95,994.3,26.2
108,2019.7.26 14:00,24.9,0.3,1.2,230,94,993.9,26.5
108,2019.7.26 15:00,25.6,0.1,0.9,230,94,993.6,26.8
108,2019.7.26 16:00,25.8,,2.1,230,91,993.6,26.2
108,2019.7.26 17:00,25.7,0.1,2.3,200,93,993.4,26
108,2019.7.26 18:00,25.7,0,2.1,270,93,993.4,26.2
108,2019.7.26 19:00,25.6,0,1.2,320,94,993.6,26.1
108,2019.7.26 20:00,25.4,0.1,0.4,0,95,994.1,25.4
108,2019.7.26 21:00,25.3,0.2,0.3,0,95,994.6,25.2
108,2019.7.26 22:00,25.3,,0.9,50,95,994.9,25
108,2019.7.26 23:00,25.2,0,0.5,50,96,995.1,25
108,2019.7.27 0:00,25.3,0,0.6,70,95,994.9,25
108,2019.7.27 1:00,25.3,0,0.8,90,95,994.7,24.9
108,2019.7.27 2:00,25.2,0,0.8,50,96,994.5,24.8
108,2019.7.27 3:00,25.2,,0.8,50,96,994.7,24.8
108,2019.7.27 4:00,25.1,0,0.2,0,96,994.9,24.9
108,2019.7.27 5:00,25,0.6,0.3,0,97,995.1,24.8
108,2019.7.27 6:00,24.9,0,0.2,0,97,995.3,24.8
108,2019.7.27 7:00,25.2,,0.4,0,96,995.5,25.6
108,2019.7.27 8:00,25.6,,0.9,110,94,996.1,26.7
108,2019.7.27 9:00,26.5,,0.7,140,82,996.1,28.9
108,2019.7.27 10:00,27.4,,0.8,140,74,996.5,30.4
108,2019.7.27 11:00,28.8,,2,160,72,996.7,32.4
108,2019.7.27 12:00,30.1,,1.5,180,63,996.2,35
108,2019.7.27 13:00,31.2,,0.5,290,58,995.6,36.3
108,2019.7.27 14:00,31.8,,1.2,230,58,995.3,36.2
108,2019.7.27 15:00,33,,1.7,290,52,995.1,38
108,2019.7.27 16:00,32.7,,1.7,320,56,995.1,33.9
108,2019.7.27 17:00,31.3,,3.6,270,65,995.1,31.2
108,2019.7.27 18:00,30.6,,1.6,290,69,995.1,29.6
108,2019.7.27 19:00,30.1,,2.3,250,70,995.5,28.5
108,2019.7.27 20:00,29.1,,1.8,200,74,996,27.5
108,2019.7.27 21:00,28.6,,0.6,200,76,996.2,26.8
108,2019.7.27 22:00,28.2,,1.3,140,77,996.9,26.5
108,2019.7.27 23:00,28.2,,1.3,160,78,997.1,26.7
108,2019.7.28 0:00,28.2,,1.3,180,78,997,26.7
108,2019.7.28 1:00,28,0.1,2.5,160,79,996.9,26.5
108,2019.7.28 2:00,27.6,0,2.3,160,79,996.6,26.4
108,2019.7.28 3:00,27.3,0.3,2.1,180,82,996.9,26.3
108,2019.7.28 4:00,26.9,0.5,1.1,160,88,996.8,26.2
108,2019.7.28 5:00,26.8,0.5,0.8,110,93,996.8,26.1
108,2019.7.28 6:00,26.7,0,1,140,92,996.9,26.2
108,2019.7.28 7:00,26.8,0,1.1,110,87,997,26.4
108,2019.7.28 8:00,27,0,1.1,140,84,997.1,26.6
108,2019.7.28 9:00,25.3,11.2,3,200,95,998.2,25.4
108,2019.7.28 10:00,25.4,0.4,2.6,200,94,998.9,26.3
108,2019.7.28 11:00,25.3,0.9,2.5,200,94,998.9,26.3
108,2019.7.28 12:00,25,7.3,1.7,200,96,999,26
108,2019.7.28 13:00,25.2,2,3,180,94,998.8,26.5
108,2019.7.28 14:00,25.6,0,1.3,200,92,998.8,27.2
108,2019.7.28 15:00,26.7,,2.4,200,83,998.1,28.6
108,2019.7.28 16:00,26.4,0.1,2.2,200,84,998.1,27
108,2019.7.28 17:00,26.3,0.5,1.6,140,88,997.5,26.6
108,2019.7.28 18:00,25.6,1.8,2.4,230,92,997.7,25.9
108,2019.7.28 19:00,25.5,0,3.1,200,83,998.1,25.4
108,2019.7.28 20:00,25.7,,2.9,200,83,998.7,25.1
108,2019.7.28 21:00,25.8,,2.1,200,82,999.1,25.2
108,2019.7.28 22:00,26.1,0,2.1,200,84,999.4,25.2
108,2019.7.28 23:00,26.2,0,1.9,200,84,999.9,25.3
108,2019.7.29 0:00,26.3,0,2,200,84,999.9,25.2
108,2019.7.29 1:00,25.9,0.5,1.5,230,92,999.6,25.2
108,2019.7.29 2:00,25.8,0,2.3,200,86,999.5,25.1
108,2019.7.29 3:00,25.8,,1.6,200,84,999.6,25
108,2019.7.29 4:00,25.8,,2.6,200,82,999.4,24.6
108,2019.7.29 5:00,25.7,,1.7,200,80,999.6,24.6
108,2019.7.29 6:00,25.6,,0.2,0,80,999.7,24.9
108,2019.7.29 7:00,25.8,,1.1,180,79,999.8,25.3
108,2019.7.29 8:00,25.9,,2,180,77,1000.1,25.5
